app_name	review_text	category
Seabank	sangat membantu	Positif
Seabank	"bagus sederhana praktis digunakan, suka banget appnya, bebas iklan, bug ataupun lelet, senang ketika di jalankan aplikasinya dan membuka semua fitur2nya. Namun disayangkan juga sih, sering saat dipakai terkadang agak"" sulit membukanya pas saat koneksi lagi buruk / jaringan jelek, terkadang loadingnya lambat sekali dan cuman berputar putar ajah, sayakira cuman hal seperti itu yang biasa terjadi di apps ini dan aplikasinya sudah berjalan dgn oke, saat ini sudah mmberi rasa aman dan terpercaya..."	Positif
Seabank	seabank Poko nya sangat membantu bagi kami	Positif
Seabank	sangat mudah transaksi terutama di admin 🙏🏻	Negatif
Seabank	sangat membantu sekali	Positif
Seabank	mantap	Positif
Seabank	MUDAH DIGUNAKAN + GA LAG	Positif
Seabank	mejayani pinjaman lbh bagus lagi	Positif
Seabank	aplikasi yang bagus dan sangat membantu dan ❤️ mudah sekali untuk di gunakan , selalu ada notifikasi walaupun sedang tidak ada kuota. semoga segera liris 'PAY LETER' untuk kuota data dan pulsa token (yang harganya mendukung untuk kami jualan) . amiin . sukses terus SeaBank. terimakasih sudah hadir sebagai aplikasi yang sangat bermanfaat ❤️👍🤝	Positif
Seabank	mantab	Positif
Seabank	Sangat baik	Positif
Seabank	mantap	Positif
Seabank	merasa nyaman untuk digunakan transaksi krn semua gratisan	Positif
Seabank	Suka banget sama aplikasi seabank, mempermudah mau transfer ke Bank apapun, ada saldo Bunganya jugaa. pokoknya best dehh	Positif
Seabank	baik	Positif
Seabank	sangat mudah, dan transfer kesemua bank gratis	Positif
Seabank	"lumayan bagus asli praktis digunakan, suka banget appnya, bebas iklan, bug ataupun lelet, senang ketika di jalankan aplikasinya dan membuka semua fitur2nya. Namun disayangkan juga sih, sering saat dipakai terkadang agak"" sulit membukanya pas saat koneksi lagi buruk / jaringan jelek, terkadang loadingnya lambat sekali dan cuman berputar putar ajah, sayakira cuman hal seperti itu yang biasa terjadi di apps ini dan aplikasinya sudah berjalan dgn oke, saat ini sudah mmberi rasa aman dan terpercaya."	Positif
Seabank	good luck for bank	Positif
Seabank	ok sangat puas	Positif
Seabank	baguss	Positif
Seabank	mantap	Positif
Seabank	ok	Positif
Seabank	seabank keren	Positif
Seabank	semua sangat bagus	Positif
Seabank	proses cepat 🚀 👍💯	Positif
Seabank	trimakasih untuk SeaBank...smoga Amanah & bermanfaat bagi smua orang 🙏	Positif
Seabank	Lancar dan sangat enak banget ya dipakai melakukan berbagai transaksi, aplikasi ini memberikan kepuasan dan kenyamanan saat ini, simpel dan sangat mudah ketika dipakai, aplikasi nya sangat bagus soalnya dilengkapi dengan berbagai fitur fitur yang sangat lengkap sehingga memudahkan menjelajahi beberapa fitur yang dan manfaat,selama menggunakan aplikasi ini ngga ada kendala sama sekali ya dan juga sangat oke,bagus nya kita bebas mendapatkan bebas biaya adm transfer keberbagai bank digital lainnya	Positif
Seabank	Senang sekali, transfer beda bank gratis dan bunga simpanan cukup tinggi	Positif
Seabank	mantap	Positif
Seabank	jos gandoz	Positif
Seabank	Suka sekali❤	Positif
